job_id,job_title,job_description,skills_required,certifications,industry,experience_level,education_required
1,News Reporter 1,"We are hiring a News Reporter in the Media industry. Candidate should have strong skills in C++, Java, Sales Strategy and demonstrate professional competency.","C++, Java, Sales Strategy",Digital Marketing Certification,Media,Fresher,ITI
2,UI/UX Designer 2,"We are hiring a UI/UX Designer in the Legal industry. Candidate should have strong skills in Cloud Computing, Marketing, Customer Service and demonstrate professional competency.","Cloud Computing, Marketing, Customer Service",PMP,Legal,Executive,Diploma
3,Psychologist 3,"We are hiring a Psychologist in the Agriculture industry. Candidate should have strong skills in SQL, AutoCAD, Excel and demonstrate professional competency.","SQL, AutoCAD, Excel",Six Sigma,Agriculture,Executive,B.Ed
4,Professor 4,"We are hiring a Professor in the Finance industry. Candidate should have strong skills in Machine Operation, Leadership, Communication and demonstrate professional competency.","Machine Operation, Leadership, Communication",PMP,Finance,Executive,BCom
5,Software Developer 5,"We are hiring a Software Developer in the Energy industry. Candidate should have strong skills in Data Analysis, Content Creation, AutoCAD and demonstrate professional competency.","Data Analysis, Content Creation, AutoCAD",Google Data Analytics,Energy,Senior,ITI
6,Plumber 6,"We are hiring a Plumber in the Healthcare industry. Candidate should have strong skills in Marketing, Content Creation, Data Analysis and demonstrate professional competency.","Marketing, Content Creation, Data Analysis",TEFL,Healthcare,Fresher,Diploma
7,Teacher 7,"We are hiring a Teacher in the Retail industry. Candidate should have strong skills in Marketing, Project Management, Customer Service and demonstrate professional competency.","Marketing, Project Management, Customer Service",PMP,Retail,Mid-Level,B.Ed
8,Teacher 8,"We are hiring a Teacher in the Retail industry. Candidate should have strong skills in Excel, Teaching, Java and demonstrate professional competency.","Excel, Teaching, Java",AWS Certified,Retail,Executive,12th Pass
9,Textile Engineer 9,"We are hiring a Textile Engineer in the Retail industry. Candidate should have strong skills in Marketing, Cybersecurity, Accounting and demonstrate professional competency.","Marketing, Cybersecurity, Accounting",Scrum Master,Retail,Junior,Diploma
10,Yoga Instructor 10,"We are hiring a Yoga Instructor in the Pharmaceutical industry. Candidate should have strong skills in Communication, Customer Service, Cloud Computing and demonstrate professional competency.","Communication, Customer Service, Cloud Computing",PMP,Pharmaceutical,Senior,MBA
11,Stock Broker 11,"We are hiring a Stock Broker in the Automobile industry. Candidate should have strong skills in Cybersecurity, Patient Care, C++ and demonstrate professional competency.","Cybersecurity, Patient Care, C++",Cisco CCNA,Automobile,Senior,12th Pass
12,Journalist 12,"We are hiring a Journalist in the E-commerce industry. Candidate should have strong skills in Java, Cloud Computing, Communication and demonstrate professional competency.","Java, Cloud Computing, Communication",Google Data Analytics,E-commerce,Senior,ITI
13,Construction Supervisor 13,"We are hiring a Construction Supervisor in the Defense industry. Candidate should have strong skills in Problem Solving, Data Analysis, Leadership and demonstrate professional competency.","Problem Solving, Data Analysis, Leadership",PMP,Defense,Executive,PhD
14,Mechanical Engineer 14,"We are hiring a Mechanical Engineer in the Pharmaceutical industry. Candidate should have strong skills in Project Management, Cybersecurity, Java and demonstrate professional competency.","Project Management, Cybersecurity, Java",AWS Certified,Pharmaceutical,Executive,12th Pass
15,Air Hostess 15,"We are hiring a Air Hostess in the Government industry. Candidate should have strong skills in Cloud Computing, Public Speaking, Accounting and demonstrate professional competency.","Cloud Computing, Public Speaking, Accounting",AWS Certified,Government,Executive,PhD
16,Agricultural Officer 16,"We are hiring a Agricultural Officer in the Defense industry. Candidate should have strong skills in Patient Care, Customer Service, SQL and demonstrate professional competency.","Patient Care, Customer Service, SQL",PMP,Defense,Mid-Level,BA
17,Agricultural Officer 17,"We are hiring a Agricultural Officer in the Healthcare industry. Candidate should have strong skills in Python, Patient Care, Public Speaking and demonstrate professional competency.","Python, Patient Care, Public Speaking",Cisco CCNA,Healthcare,Fresher,BSc
18,Mechanical Engineer 18,"We are hiring a Mechanical Engineer in the E-commerce industry. Candidate should have strong skills in Excel, Java, SQL and demonstrate professional competency.","Excel, Java, SQL",Scrum Master,E-commerce,Senior,Diploma
19,Cybersecurity Analyst 19,"We are hiring a Cybersecurity Analyst in the Defense industry. Candidate should have strong skills in Python, Java, Cloud Computing and demonstrate professional competency.","Python, Java, Cloud Computing",IELTS,Defense,Manager,BA
20,Doctor 20,"We are hiring a Doctor in the Construction industry. Candidate should have strong skills in Python, SQL, Java and demonstrate professional competency.","Python, SQL, Java",TEFL,Construction,Junior,MBBS
21,Cybersecurity Analyst 21,"We are hiring a Cybersecurity Analyst in the Media industry. Candidate should have strong skills in Excel, Teaching, AutoCAD and demonstrate professional competency.","Excel, Teaching, AutoCAD",Scrum Master,Media,Fresher,MBA
22,Marketing Manager 22,"We are hiring a Marketing Manager in the Manufacturing industry. Candidate should have strong skills in Sales Strategy, Cloud Computing, Public Speaking and demonstrate professional competency.","Sales Strategy, Cloud Computing, Public Speaking",PMP,Manufacturing,Mid-Level,PhD
23,Architect 23,"We are hiring a Architect in the Government industry. Candidate should have strong skills in Project Management, SQL, Marketing and demonstrate professional competency.","Project Management, SQL, Marketing",Scrum Master,Government,Mid-Level,BCom
24,Financial Analyst 24,"We are hiring a Financial Analyst in the Retail industry. Candidate should have strong skills in Python, Communication, SQL and demonstrate professional competency.","Python, Communication, SQL",Google Data Analytics,Retail,Mid-Level,12th Pass
25,Event Planner 25,"We are hiring a Event Planner in the Finance industry. Candidate should have strong skills in AutoCAD, Sales Strategy, Cybersecurity and demonstrate professional competency.","AutoCAD, Sales Strategy, Cybersecurity",Chartered Accountant,Finance,Fresher,MBA
26,Insurance Advisor 26,"We are hiring a Insurance Advisor in the Manufacturing industry. Candidate should have strong skills in Excel, Marketing, Data Analysis and demonstrate professional competency.","Excel, Marketing, Data Analysis",TEFL,Manufacturing,Senior,MBBS
27,Social Worker 27,"We are hiring a Social Worker in the Media industry. Candidate should have strong skills in Accounting, Public Speaking, Excel and demonstrate professional competency.","Accounting, Public Speaking, Excel",IELTS,Media,Mid-Level,B.Ed
28,Journalist 28,"We are hiring a Journalist in the Energy industry. Candidate should have strong skills in Excel, Patient Care, Problem Solving and demonstrate professional competency.","Excel, Patient Care, Problem Solving",Six Sigma,Energy,Executive,BSc
29,IoT Engineer 29,"We are hiring a IoT Engineer in the Automobile industry. Candidate should have strong skills in Python, Sales Strategy, Teaching and demonstrate professional competency.","Python, Sales Strategy, Teaching",PMP,Automobile,Executive,BCom
30,Stock Broker 30,"We are hiring a Stock Broker in the Manufacturing industry. Candidate should have strong skills in Problem Solving, Leadership, SQL and demonstrate professional competency.","Problem Solving, Leadership, SQL",Six Sigma,Manufacturing,Manager,B.Ed
31,Social Worker 31,"We are hiring a Social Worker in the Construction industry. Candidate should have strong skills in Marketing, Public Speaking, Accounting and demonstrate professional competency.","Marketing, Public Speaking, Accounting",Chartered Accountant,Construction,Junior,ITI
32,IoT Engineer 32,"We are hiring a IoT Engineer in the Healthcare industry. Candidate should have strong skills in Java, Problem Solving, Excel and demonstrate professional competency.","Java, Problem Solving, Excel",Digital Marketing Certification,Healthcare,Senior,BSc
