Job Title,Job Description,Skills,Certifications
Admin Big Data,"Responsible for managing and overseeing big data infrastructure, ensuring data integrity, security, and availability. Requires expertise in Hadoop, Spark, and data warehousing solutions.","Hadoop, Spark, MapReduce, Data Lakes, Data Warehousing, Big Data Architecture, NoSQL, Data Modeling, ETL, Cloud Computing, AWS, Azure, Data Governance, Security","Cloudera Certified Professional (CCP), Hortonworks Certified Associate (HCA), AWS Certified Big Data – Specialty"
Ansible Operations Engineer,"Focuses on automating IT processes using Ansible. Responsibilities include writing playbooks, managing configurations, and ensuring system reliability.","Ansible, Linux, Automation, Cloud Platforms, CI/CD, Infrastructure as Code, Kubernetes, Docker, AWS, Terraform, Python, Scripting, Networking","Red Hat Certified Specialist in Ansible Automation, AWS Certified DevOps Engineer – Professional"
Artifactory Administrator,"Manages the Artifactory repository for build artifacts. Responsibilities include configuring repositories, managing access permissions, and integrating with CI/CD pipelines.","Artifactory, CI/CD, Jenkins, Docker, Maven, Gradle, Build Automation, Version Control, Git, Cloud Computing, Linux, JFrog CLI","JFrog Artifactory Certification, DevOps Institute Certifications"
Artificial Intelligence / Machine Learning Leader,"Leads AI/ML projects and teams, defining strategy and overseeing implementation. Requires strong leadership skills and knowledge of AI technologies.","AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management","AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Artificial Intelligence / Machine Learning Sr.Leader,"Senior role overseeing multiple AI/ML initiatives. Responsible for strategic planning, team management, and ensuring alignment with business goals.","AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management, Innovation, Mentoring","Certified Artificial Intelligence Practitioner (CAIP), AI-900: Microsoft Azure AI Fundamentals"
Artificial intelligence Architect,"Designs AI systems and architecture. Responsible for selecting appropriate technologies, ensuring scalability, and integrating AI solutions into existing systems.","AI Architecture, Machine Learning, Cloud Computing, Data Science, Deep Learning, System Design, AWS, Azure, Scalability, Security, Model Deployment","Google Cloud Professional Machine Learning Engineer, AWS Certified Solutions Architect – Professional"
Artificial Intelligence Researcher,Conducts research in AI to develop new algorithms and models. Publishes findings in scientific journals and collaborates with academic institutions.,"Machine Learning, Deep Learning, Research Methods, Python, TensorFlow, PyTorch, Data Analysis, Statistical Analysis, Algorithm Design, Scientific Writing","Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer"
Big Data Architect,"Designs big data solutions and architecture. Responsible for data modeling, ETL processes, and ensuring the performance of big data systems.","Hadoop, Spark, Kafka, MapReduce, NoSQL, Data Warehousing, Cloud Computing, AWS, Azure, Data Lakes, Data Modeling, ETL, Data Governance, Security","Cloudera Certified Data Architect, AWS Certified Solutions Architect – Associate"
Big Data Engineer,"Builds and maintains big data pipelines. Responsible for data ingestion, transformation, and storage using technologies like Hadoop and Spark.","Hadoop, Spark, Kafka, SQL, NoSQL, Python, Java, Scala, Data Pipelines, ETL, Data Warehousing, Cloud Computing","Google Cloud Professional Data Engineer, AWS Certified Big Data – Specialty"
Big Data Specialist,Analyzes large datasets to extract insights. Requires knowledge of statistical analysis tools and big data technologies.,"Hadoop, Spark, Data Analysis, Data Visualization, SQL, NoSQL, Data Modeling, ETL, Cloud Computing, Data Mining, Statistical Analysis","Certified Big Data Analytics (CBDA), IBM Certified Data Engineer - Big Data"
Build and Release Engineer,"Manages the build process for software applications. Responsible for automating builds, managing release schedules, and ensuring software quality.","CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Build Engineer,Focuses on building software applications from source code. Responsibilities include configuring build environments and troubleshooting build issues.,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control","AWS Certified Developer – Associate, Jenkins Certification"
Chef Operations Engineer,"Utilizes Chef for configuration management. Responsible for writing cookbooks, managing infrastructure as code, and automating deployment processes.","Chef, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code","Chef Certification, AWS Certified DevOps Engineer – Professional"
Data Analysts,"Analyzes datasets to provide actionable insights. Requires proficiency in SQL, Excel, and data visualization tools like Tableau or Power BI.","SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling","Microsoft Certified: Data Analyst Associate, Tableau Desktop Specialist"
Data Architect,"Designs data models and architecture for databases. Responsible for ensuring data quality, integrity, and security across systems.","Data Modeling, Data Warehousing, ETL, SQL, NoSQL, Data Governance, Cloud Computing, AWS, Azure, Data Integration, Data Security","IBM Certified Data Architect - Big Data, Google Cloud Professional Data Architect"
DevOps Architect,Designs DevOps frameworks that enhance collaboration between development/operations teams while implementing CI/CD practices.,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking","AWS Certified Solutions Architect – Professional, Google Cloud Professional DevOps Engineer"
DevOps Engineer,Implements DevOps practices by automating software delivery processes using tools like Jenkins or GitLab CI.,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Scripting, Cloud Computing","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
ELK Engineer,"Implements ELK stack (Elasticsearch, Logstash, Kibana) solutions for log management/analysis while creating visualizations/dashboards.","Elasticsearch, Logstash, Kibana, Data Visualization, Log Management, Linux, AWS, Azure, Networking, Security","Elastic Certified Engineer, Elastic Stack Certification"
Gerrit Administrator,"Administers Gerrit code review tool. Responsibilities include managing user access, configuring project settings, and facilitating code reviews.","Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control",Gerrit Code Review Certification (if available)
Jenkins Engineer,Manages Jenkins CI/CD server to automate software builds/deployments. Responsibilities include configuring jobs/plugins and maintaining build pipelines.,"Jenkins, CI/CD, Automation, Groovy, Scripting, Linux, Docker, Kubernetes, Build Automation, Version Control","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Jira Administrator,"Manages Jira project management tool. Responsibilities include configuring workflows, managing user permissions, and supporting teams in Agile methodologies.","Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management","Atlassian Jira Administration Certification, AgilePM Certification"
Kubernetes Operations Engineer,"Manages Kubernetes clusters for container orchestration. Responsibilities include deploying applications, monitoring cluster health, and troubleshooting issues.","Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security","Certified Kubernetes Administrator (CKA), CNCF Kubernetes Security Specialist (CKS)"
Machine learning Architect,"Designs machine learning systems architecture. Responsible for selecting appropriate frameworks, designing workflows, and ensuring scalability of ML models.","Machine Learning, Deep Learning, Cloud Computing, Data Science, System Design, AWS, Azure, Scalability, Security, Model Deployment","Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning – Specialty"
Machine Learning Engineer,Builds machine learning models by implementing algorithms/data processing techniques while focusing on model evaluation/deployment.,"Python, Machine Learning, TensorFlow, Keras, PyTorch, Data Analysis, Deep Learning, Natural Language Processing, Computer Vision, Data Science, Algorithms","Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate"
Operations Engineer,"Oversees IT operations to ensure system reliability. Responsibilities include monitoring system performance, troubleshooting issues, and implementing improvements.","Linux, Windows Server, Networking, Troubleshooting, Scripting, Automation, Cloud Computing, Monitoring, System Administration","ITIL Foundation Certification, CompTIA IT Fundamentals+"
Principle Engineer in Artificial Intelligence,"Leads AI initiatives within an organization. Responsibilities include strategic planning, mentoring teams, and driving innovation in AI technologies.","AI Strategy, Machine Learning, Deep Learning, Data Science, Python, TensorFlow, Cloud Computing, System Design, Mentoring, Innovation","AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Principle Engineer in Big Data,Senior role responsible for big data strategy implementation. Oversees architecture design decisions and ensures compliance with best practices.,"Big Data Architecture, Hadoop, Spark, Kafka, Data Warehousing, Cloud Computing, Data Governance, Mentoring, Innovation","Cloudera Certified Professional (CCP), Google Cloud Professional Data Engineer"
